Date,Symbol,Quantity,Currency,,,
09/04/2024,BDRBF,949,USD,,,
09/04/2024,BTI,790,USD,,,
09/04/2024,BUD,528,USD,,,
09/04/2024,BYD,364,USD,,,
09/04/2024,CURLF,13383,USD,,,
09/04/2024,CZR,485,USD,,,
09/04/2024,DKNG,1122,USD,,,
09/04/2024,GD,194,USD,,,
09/04/2024,GTBIF,2193,USD,,,
09/04/2024,HEI,239,EUR,,,
09/04/2024,HO,381,EUR,,,
09/04/2024,LMT,98,USD,,,
09/04/2024,LVS,573,USD,,,
09/04/2024,MGM,683,USD,,,
09/04/2024,MNST,141,USD,,,
09/04/2024,MO,456,USD,,,
09/04/2024,NOC,35,USD,,,
09/04/2024,PEP,295,USD,,,
09/04/2024,PM,457,USD,,,
09/04/2024,RHM,101,EUR,,,
09/04/2024,RRR,693,USD,,,
09/04/2024,RTX,663,USD,,,
09/04/2024,SAM,43,USD,,,
09/04/2024,STZ,100,USD,,,
09/04/2024,TAP,505,USD,,,
09/04/2024,TDG,28,USD,,,
09/04/2024,WYNN,446,USD,,,
10/04/2024,AIR,152,EUR,,,
10/04/2024,BAESY,559,USD,,,
10/04/2024,BDRBF,949,USD,,,
10/04/2024,BTI,790,USD,,,
10/04/2024,BUD,528,USD,,,
10/04/2024,BYD,364,USD,,,
10/04/2024,CURLF,13383,USD,,,
10/04/2024,CZR,485,USD,,,
10/04/2024,DKNG,1122,USD,,,
10/04/2024,GD,194,USD,,,
10/04/2024,GTBIF,2193,USD,,,
10/04/2024,HEI,239,EUR,,,
10/04/2024,HO,381,EUR,,,
10/04/2024,LMT,98,USD,,,
10/04/2024,LVS,573,USD,,,
10/04/2024,MGM,683,USD,,,
10/04/2024,MNST,141,USD,,,
10/04/2024,MO,456,USD,,,
10/04/2024,NOC,35,USD,,,
10/04/2024,PEP,295,USD,,,
10/04/2024,PM,457,USD,,,
10/04/2024,RHM,101,EUR,,,
10/04/2024,RRR,693,USD,,,
